Kentucky188,7
Kentucky189,59
North Carolina184,1
Michigan189,56
North Carolina188,1
North Carolina189,8
Michigan187,4
Oklahoma192,20
Indiana192,5
Indiana190,31
Indiana191,17
Virginia189,40
Virginia188,3
Minnesota187,3
Minnesota189,141
Minnesota188,10
Oklahoma190,804
North Carolina185,2
Nebraska190,183
Mississippi189,3
North Dakota192,4
Hawaii188,1
North Dakota190,239
North Dakota191,29
Oregon192,53
Michigan185,1
Texas188,3
Texas189,13
Montana190,102
Montana191,23
Louisiana188,10
Louisiana189,26
West Virginia190,122
West Virginia191,9
West Virginia192,3
Louisiana185,4
Utah191,49
Utah190,105
Virginia190,171
Virginia191,64
Indiana187,1
Indiana186,2
Indiana189,19
Indiana188,1
Hawaii192,5
Hawaii190,15
Hawaii191,12
Mississippi192,13
Mississippi191,10
Mississippi190,122
Texas192,24
Texas191,53
Texas190,330
Montana187,1
Louisiana191,35
Louisiana190,172
West Virginia189,27
Louisiana192,66
West Virginia185,1
Montana189,62
Montana188,10
South Dakota189,10
Utah188,9
Utah189,39
Missouri189,68
Arizona191,48
Colorado190,5
Vermont191,36
Kansas187,2
Kansas186,1
Idaho187,1
Idaho188,2
Idaho189,5
Ohio192,6
Kansas189,135
Kansas188,10
Illinois190,189
Illinois191,172
Illinois192,11
Missouri188,5
Missouri187,2
Missouri186,1
Nevada188,1
North Dakota189,5
South Dakota190,25
South Dakota191,16
Michigan190,93
Kentucky192,17
South Carolina191,21
South Carolina190,219
South Carolina192,15
New York191,84
Kansas190,108
Kansas191,38
Kansas192,7
Arkansas191,1
Idaho192,2
Idaho191,18
Idaho190,115
Minnesota190,278
Florida189,90
North Carolina191,13
District of Columbia186,4
District of Columbia185,7
District of Columbia184,1
New Mexico189,7
Illinois187,2
Mississippi187,2
Ohio190,69
Minnesota191,24
Missouri190,177
Missouri191,35
Missouri192,10
Ohio191,19
Pennsylvania188,18
Pennsylvania189,95
South Carolina186,4
South Carolina187,3
Iowa191,30
Iowa190,48
South Carolina188,9
Iowa192,3
Maryland188,1
Vermont189,17
District of Columbia190,129
District of Columbia191,174
Vermont186,6
Vermont187,1
Maryland189,15
New Mexico192,9
New Mexico190,229
New Mexico191,36
Maryland184,1
Illinois189,10
Vermont185,1
Connecticut192,4
Connecticut191,26
Connecticut190,1
District of Columbia192,49
Oregon191,98
Oregon190,66
Florida191,23
Florida190,214
Florida192,2
District of Columbia189,17
Vermont188,4
South Carolina189,39
Washington191,54
Washington190,121
Washington192,17
Arizona190,317
Vermont192,26
Arizona192,10
Vermont190,55
Nebraska187,2
Nevada191,1
Nebraska189,139
Vermont183,1
North Carolina190,158
Pennsylvania192,27
Montana192,7
Tennessee190,40
Tennessee191,8
Tennessee192,17
Pennsylvania191,43
Pennsylvania190,206
Oregon187,3
Oregon188,4
Oregon189,132
New York189,20
New York188,2
Nebraska188,3
Ohio189,33
Ohio188,9
Washington188,2
Washington189,92
Ohio185,1
Ohio184,2
Oklahoma191,42
Ohio186,6
Arizona187,3
Nebraska191,44
Nebraska192,3
California191,45
California190,90
Arizona189,75
Arizona188,2
West Virginia188,1
Ohio187,5
Hawaii189,8
Louisiana186,2
Kentucky191,57
Kentucky190,597
Pennsylvania186,2
Michigan192,4
Michigan191,11
Louisiana187,5
New York190,84
Pennsylvania183,1
New York192,38
Minnesota192,11
Pennsylvania187,12
Pennsylvania184,1
Pennsylvania185,3
Tennessee189,8
Tennessee188,2
Virginia192,3
Oklahoma188,1
Oklahoma189,121
North Dakota187,1
Illinois188,4
North Dakota188,5
Utah192,10
Maryland191,1
Maryland190,19
North Carolina192,5
California188,4
California189,30
