Mississippi,150
Oklahoma,988
Minnesota,467
Illinois,388
Arkansas,1
New Mexico,281
Indiana,76
Maryland,37
Louisiana,320
Texas,423
Arizona,455
Iowa,81
Michigan,169
Kansas,301
Utah,212
Virginia,281
Oregon,356
Connecticut,31
Montana,205
California,169
Idaho,143
West Virginia,163
South Carolina,310
Vermont,147
North Dakota,283
Pennsylvania,408
Florida,329
Hawaii,41
Kentucky,737
Nebraska,374
Missouri,298
Ohio,150
New York,228
South Dakota,51
Colorado,5
Washington,286
North Carolina,188
Tennessee,75
District of Columbia,381
Nevada,2
